GLI Code,Country,UOM Macro,Incoterm,EU001 OC,DS OC
15013256_U,Indonesia,FGCD1445,EXW,EUR,IDR
20061265_U,Philippines,FGCD1445,CIF,USD,EUR
20063869_U,Indonesia,FGCD1445,DDP,IDR,USD
20064662_U,Thailand,FGCD1445,CIF,USD,THB
20069632_U,Indonesia,FGCD1445,DDP,IDR,USD
20089573_U,Indonesia,FGCD1445,DDP,IDR,USD
20115633_U,Indonesia,FGCD1445,DDP,USD,IDR
20116948_U,Indonesia,FGCD1445,DDP,IDR,USD
20147935_U,Thailand,FGCD1445,C&F,THB,USD
20148278_U,Thailand,FGCD1445,DDP,THB,EUR
20148313_U,Indonesia,FGCD1445,DDP,USD,IDR
20151594_U,Philippines,FGCD1445,C&F,USD,PHP
20152223_U,Myanmar,FGCD1445,DDP,MMK,USD
20201518_U,Myanmar,FGCD1445,DDP,MMK,THB
20214757_U,Indonesia,FGCD1445,DDP,IDR,USD
20238289_U,Australia,FGCD1445,DDP,AUD,USD
20261591_U,Indonesia,FGCD1445,DDP,IDR,USD
20280262_U,Thailand,FGCD1445,C&F,THB,USD
20289911_U,Indonesia,FGCD1445,CIF,IDR,EUR
20295745_U,Indonesia,FGCD1445,C&F,USD,EUR
21010658_U,Indonesia,FGCD1445,DDP,IDR,USD
21010661_U,Indonesia,FGCD1445,DDP,IDR,USD
21010892_U,Indonesia,FGCD1445,DDP,IDR,USD
21035187_U,Philippines,FGCD1445,DDP,PHP,EUR
21072004_U,Thailand,FGCD1445,C&F,USD,THB
21073923_U,Indonesia,FGCD1445,DDP,IDR,USD
21082663_U,Australia,FGCD1445,DDP,EUR,AUD
21130373_U,Indonesia,FGCD1445,DDP,IDR,USD
21133076_U,Indonesia,FGCD1445,DDP,USD,IDR
21143308_U,China,FGCD1445,CIF,EUR,CNY
21151638_U,China,FGCD1445,DDP,USD,CNY
21166043_U,Australia,FGCD1445,CIF,USD,AUD
21166295_U,Vietnam,FGCD1445,DDP,EUR,USD
21181855_U,China,FGCD1445,DDP,USD,CNY
61009849_U,Australia,FGCD1445,DDP,AUD,USD
61009956_U,Australia,FGCD1445,DDP,USD,AUD
61280697_U,Australia,FGCD1445,DDP,EUR,AUD
61280994_U,Australia,FGCD1445,DDP,EUR,AUD
61281009_U,Australia,FGCD1445,DDP,EUR,AUD
61352509_U,Australia,FGCD1445,DDP,USD,AUD
62106099_U,Indonesia,FGCD1445,DDP,IDR,USD
62133045_U,Indonesia,FGCD1445,DDP,IDR,USD
62169120_U,Indonesia,FGCD1445,C&F,USD,IDR
62176682_U,Indonesia,FGCD1445,DDP,IDR,USD
62177323_U,Indonesia,FGCD1445,DDP,IDR,USD
62873020_U,Indonesia,FGCD1445,DDP,IDR,USD
63002205_U,China,FGCD1445,CIP,USD,CNY
63006198_U,China,FGCD1445,CIP,USD,CNY
63010071_U,China,FGCD1445,C&F,USD,CNY
63124891_U,China,FGCD1445,CIF,USD,CNY
63130602_U,China,FGCD1445,CIP,USD,CNY
63371909_U,China,FGCD1445,DDP,CNY,EUR
64005206_U,Vietnam,FGCD1445,CIF,VND,USD
64005347_U,Vietnam,FGCD1445,DDP,USD,VND
64005389_U,Vietnam,FGCD1445,DDP,USD,VND
64005512_U,Myanmar,FGCD1445,DDP,MMK,THB
64005512_U,Vietnam,FGCD1445,CIF,EUR,USD
64005512_U,Vietnam,FGCD1445,CIP,VND,EUR
64025473_U,Vietnam,FGCD1445,CIP,VND,USD
65013321_U,Thailand,FGCD1445,DDP,THB,USD
65023192_U,Indonesia,FGCD1445,CIF,USD,EUR
66811908_U,Myanmar,FGCD1445,DDP,MMK,USD
67085574_U,Indonesia,FGCD1445,DDP,USD,IDR
67163693_U,Vietnam,FGCD1445,CIF,VND,USD
67355219_U,Vietnam,FGCD1445,CIP,VND,EUR
67381214_U,Indonesia,FGCD1445,DDP,USD,IDR
67876490_U,China,FGCD1445,CIF,USD,CNY
67927593_U,Myanmar,FGCD1445,DDP,MMK,USD
68142928_U,Australia,FGCD1445,DDP,USD,AUD
68503002_U,Thailand,FGCD1445,DDP,THB,USD
68652625_U,Australia,FGCD1445,DDP,AUD,USD
1000020_U,SouthAfrica,FGCD1445,DDP,USD,ZAR
1000027_U,SouthAfrica,FGCD1445,DDP,USD,ZAR
1002687_U,SouthAfrica,FGCD1445,DDP,ZAR,EUR
1002688_U,SouthAfrica,FGCD1445,DDP,ZAR,EUR
1003068_U,Zimbabwe,FGCD1445,DDP,ZWD,USD
1003093_U,Zimbabwe,FGCD1445,DDP,ZWD,USD
1003094_U,Zimbabwe,FGCD1445,DDP,ZWD,USD
11000001_F,India,FGCD1445,EXW,INR,EUR
11000012_F,India,FGCD1445,EXW,INR,USD
11000016_F,India,FGCD1445,EXW,INR,USD
11000039_F,Nepal,FGCD1445,EXW,INR,EUR
11000066_F,India,FGCD1445,EXW,INR,EUR
11000073_F,Nepal,FGCD1445,C&F,USD,INR
11000294_F,Nepal,FGCD1445,C&F,INR,USD
11000649_F,India,FGCD1445,EXW,INR,EUR
11000721_F,India,FGCD1445,CIF,INR,USD
11000791_F,India,FGCD1445,CIF,INR,USD
11000984_F,India,FGCD1445,EXW,INR,USD
11001007_F,Nepal,FGCD1445,C&F,INR,USD
11003529_F,India,FGCD1445,CIF,INR,USD
11003610_F,India,FGCD1445,C&F,INR,USD
11003652_F,India,FGCD1445,EXW,INR,USD
11003686_F,India,FGCD1445,EXW,INR,USD
11004454_F,India,FGCD1445,EXW,INR,GBP
11004455_F,India,FGCD1445,EXW,INR,USD
11004537_F,India,FGCD1445,EXW,INR,USD
11004539_F,Nepal,FGCD1445,EXW,INR,NPR
11058741_F,India,FGCD1445,EXW,INR,USD
11059662_F,India,FGCD1445,EXW,INR,USD
11059663_F,India,FGCD1445,EXW,INR,USD
11059666_F,India,FGCD1445,EXW,INR,EUR
11060496_F,India,FGCD1445,C&F,INR,USD
11063655_F,India,FGCD1445,EXW,INR,USD
11063771_F,India,FGCD1445,EXW,INR,EUR
11064261_F,India,FGCD1445,EXW,INR,EUR
11064486_F,India,FGCD1445,EXW,INR,EUR
11064781_F,India,FGCD1445,EXW,INR,USD
11064783_F,India,FGCD1445,EXW,INR,USD
11067012_F,India,FGCD1445,EXW,INR,USD
11067128_F,India,FGCD1445,EXW,INR,USD
11067129_F,India,FGCD1445,EXW,INR,USD
11067151_F,India,FGCD1445,C&F,INR,USD
113238_U,SouthAfrica,FGCD1445,DDP,EUR,ZAR
15010156_U,Kenya,FGCD1445,CPT,ZAR,USD
15010209_U,Turkey,FGCD1445,DDP,EUR,TRY
15010316_U,Turkey,FGCD1445,DDP,EUR,TRY
15010316_U,Turkey,FGCD1445,DDP,USD,TRY
15010561_U,Turkey,FGCD1445,DDP,TRY,EUR
15010622_U,Turkey,FGCD1445,DDP,USD,EUR
15010644_U,Turkey,FGCD1445,DDP,EUR,TRY
15010701_U,Turkey,FGCD1445,DDP,USD,TRY
15010720_U,Turkey,FGCD1445,DDP,EUR,TRY
15010745_U,Turkey,FGCD1445,DDP,EUR,TRY
15010886_U,Turkey,FGCD1445,DDP,EUR,TRY
15010886_U,Russia,FGCD1445,DDP,RUB,EUR
15010910_U,Turkey,FGCD1445,DDP,USD,TRY
15010940_U,Turkey,FGCD1445,DDP,USD,EUR
15010969_U,Turkey,FGCD1445,DDP,USD,TRY
15010994_U,Turkey,FGCD1445,DDP,EUR,TRY
15010994_U,Turkey,FGCD1445,DDP,USD,TRY
15011024_U,Turkey,FGCD1445,DDP,EUR,TRY
15011024_U,Turkey,FGCD1445,DDP,USD,TRY
15011056_U,Turkey,FGCD1445,DDP,USD,TRY
15011166_U,Turkey,FGCD1445,DDP,EUR,TRY
15011166_U,Turkey,FGCD1445,DDP,USD,TRY
15011169_U,Turkey,FGCD1445,DDP,TRY,USD
15011534_U,Turkey,FGCD1445,EXW,EUR,TRY
15011534_U,Turkey,FGCD1445,DDP,EUR,TRY
15011644_U,Turkey,FGCD1445,DDP,EUR,TRY
15012071_U,Turkey,FGCD1445,DDP,EUR,TRY
15012071_U,Turkey,FGCD1445,DAP,EUR,TRY
15012106_U,Turkey,FGCD1445,DDP,EUR,TRY
15012156_U,Turkey,FGCD1445,DDP,EUR,TRY
15012334_U,Turkey,FGCD1445,DDP,EUR,TRY
15012614_U,Turkey,FGCD1445,EXW,USD,TRY
15012614_U,Turkey,FGCD1445,DDP,USD,TRY
15012786_U,Turkey,FGCD1445,DDP,EUR,TRY
15013185_U,Turkey,FGCD1445,DDP,EUR,TRY
15013335_U,Turkey,FGCD1445,DDP,EUR,TRY
15013785_U,Turkey,FGCD1445,DDP,EUR,TRY
15014694_U,Turkey,FGCD1445,EXW,EUR,TRY
15014868_U,Turkey,FGCD1445,DDP,EUR,TRY
15030004_U,Turkey,FGCD1445,DAP,EUR,TRY
15030007_U,Turkey,FGCD1445,DAP,EUR,TRY
15030051_U,Turkey,FGCD1445,DDP,EUR,TRY
15030102_U,Turkey,FGCD1445,DDP,EUR,TRY
15030102_U,Turkey,FGCD1445,DAP,EUR,TRY
15030130_U,Turkey,FGCD1445,DDP,USD,TRY
15030141_U,Turkey,FGCD1445,DDP,EUR,TRY
15030159_U,Turkey,FGCD1445,DDP,USD,TRY
15030169_U,Turkey,FGCD1445,EXW,EUR,TRY
15030169_U,Turkey,FGCD1445,DDP,EUR,TRY
15030173_U,Turkey,FGCD1445,DDP,EUR,TRY
15030174_U,Turkey,FGCD1445,EXW,EUR,TRY
15030174_U,Turkey,FGCD1445,DDP,USD,EUR
15030189_U,Turkey,FGCD1445,EXW,EUR,TRY
15030203_U,Turkey,FGCD1445,EXW,EUR,TRY
15030231_U,Turkey,FGCD1445,DDP,EUR,TRY
15030231_U,Turkey,FGCD1445,DDP,USD,TRY
15030245_U,Turkey,FGCD1445,EXW,EUR,TRY
15030264_U,Turkey,FGCD1445,DDP,EUR,TRY
15030265_U,Turkey,FGCD1445,DDP,EUR,TRY
15030410_U,Turkey,FGCD1445,DDP,EUR,TRY
15030511_U,Turkey,FGCD1445,FCA,EUR,TRY
15030511_U,Turkey,FGCD1445,CIP,EUR,TRY
15030511_U,Turkey,FGCD1445,DDP,EUR,TRY
15030550_U,Turkey,FGCD1445,DDP,EUR,TRY
15030580_U,Turkey,FGCD1445,DDP,EUR,TRY
15030767_U,Turkey,FGCD1445,DDP,EUR,TRY
15030789_U,Turkey,FGCD1445,FCA,EUR,TRY
15030796_U,Turkey,FGCD1445,DDP,EUR,TRY
15030800_U,Turkey,FGCD1445,DDP,EUR,TRY
15030801_U,Turkey,FGCD1445,EXW,EUR,TRY
15030801_U,Turkey,FGCD1445,DDP,EUR,TRY
15030802_U,Turkey,FGCD1445,DDP,EUR,TRY
15030818_U,Turkey,FGCD1445,DDP,EUR,TRY
15030819_U,Turkey,FGCD1445,FCA,EUR,TRY
15030820_U,Turkey,FGCD1445,DDP,EUR,TRY
15030823_U,Turkey,FGCD1445,DDP,EUR,TRY
15030852_U,Turkey,FGCD1445,DDP,EUR,TRY
15030886_U,Turkey,FGCD1445,EXW,EUR,TRY
15030913_U,Turkey,FGCD1445,DDP,EUR,TRY
15030971_U,Turkey,FGCD1445,FCA,EUR,TRY
15030973_U,Turkey,FGCD1445,FCA,USD,TRY
15030973_U,Turkey,FGCD1445,DDP,USD,TRY
15031051_U,Turkey,FGCD1445,FCA,EUR,TRY
15031122_U,Turkey,FGCD1445,DDP,EUR,TRY
15031130_U,Turkey,FGCD1445,DDP,EUR,TRY
15031131_U,Turkey,FGCD1445,DDP,EUR,TRY
15031152_U,Turkey,FGCD1445,DDP,EUR,TRY
15031180_U,Turkey,FGCD1445,DDP,EUR,TRY
15031220_U,Turkey,FGCD1445,DDP,EUR,TRY
15031302_U,Turkey,FGCD1445,DDP,EUR,TRY
15031303_U,Turkey,FGCD1445,DDP,EUR,TRY
15031310_U,Turkey,FGCD1445,FCA,EUR,TRY
15031520_U,Turkey,FGCD1445,DDP,USD,TRY
15031640_U,Turkey,FGCD1445,EXW,EUR,TRY
15031641_U,Turkey,FGCD1445,DDP,EUR,TRY
15031642_U,Turkey,FGCD1445,DDP,EUR,TRY
15031974_U,Turkey,FGCD1445,FCA,EUR,TRY
15032004_U,Turkey,FGCD1445,DDP,EUR,TRY
15032024_U,Turkey,FGCD1445,EXW,EUR,TRY
15032025_U,Turkey,FGCD1445,FCA,EUR,TRY
15032032_U,Turkey,FGCD1445,EXW,EUR,TRY
15032055_U,Turkey,FGCD1445,DDP,EUR,TRY
15032064_U,Turkey,FGCD1445,FCA,EUR,TRY
15032095_U,Turkey,FGCD1445,DDP,USD,TRY
20000024_U,Israel,FGCD1445,DDP,EUR,ILS
20000088_U,Israel,FGCD1445,DDP,EUR,ILS
20000094_U,Israel,FGCD1445,DDP,EUR,ILS
20000094_U,Israel,FGCD1445,DDP,USD,ILS
20000100_U,Israel,FGCD1445,DDP,EUR,ILS
20000113_U,Turkey,FGCD1445,DDP,EUR,TRY
20000118_U,Israel,FGCD1445,FCA,USD,ILS
20000118_U,Israel,FGCD1445,DDP,USD,ILS
20000149_U,Israel,FGCD1445,DDP,GBP,ILS
20000150_U,Israel,FGCD1445,DDP,GBP,ILS
20000151_U,Israel,FGCD1445,DDP,GBP,ILS
20000153_U,Israel,FGCD1445,DDP,GBP,ILS
20000163_U,Israel,FGCD1445,DDP,EUR,ILS
20000169_U,Israel,FGCD1445,DDP,EUR,ILS
20000169_U,Israel,FGCD1445,DDP,USD,ILS
20000184_U,Israel,FGCD1445,DDP,USD,ILS
20000186_U,Israel,FGCD1445,DDP,EUR,ILS
20000209_U,Israel,FGCD1445,DDP,GBP,ILS
20000216_U,Israel,FGCD1445,DDP,EUR,ILS
20000216_U,Israel,FGCD1445,DDP,USD,ILS
20000217_U,Israel,FGCD1445,DDP,EUR,ILS
2000224_U,SouthAfrica,FGCD1445,DDP,USD,ZAR
2000227_U,SouthAfrica,FGCD1445,DDP,USD,ZAR
20008691_U,Israel,FGCD1445,DDP,USD,ILS
20008693_U,Israel,FGCD1445,DDP,EUR,ILS
20008696_U,Israel,FGCD1445,DDP,USD,ILS
20008745_U,Israel,FGCD1445,DDP,EUR,ILS
20008749_U,Israel,FGCD1445,DDP,EUR,ILS
20008749_U,Israel,FGCD1445,DDP,USD,ILS
20008750_U,Israel,FGCD1445,DDP,USD,ILS
20008751_U,Israel,FGCD1445,DDP,EUR,ILS
20008758_U,Israel,FGCD1445,DDP,EUR,ILS
20008774_U,Israel,FGCD1445,DDP,USD,ILS
20008775_U,Israel,FGCD1445,DDP,USD,ILS
20008784_U,Israel,FGCD1445,DDP,USD,ILS
20008848_U,Israel,FGCD1445,DDP,EUR,ILS
20008855_U,Israel,FGCD1445,DDP,USD,ILS
20008862_U,Israel,FGCD1445,DDP,USD,ILS
20008865_U,Israel,FGCD1445,DDP,USD,ILS
20008878_U,Israel,FGCD1445,DDP,EUR,ILS
20008953_U,Israel,FGCD1445,DDP,USD,ILS
20008961_U,Israel,FGCD1445,DDP,EUR,ILS
20008969_U,Israel,FGCD1445,DDP,EUR,ILS
20009008_U,Israel,FGCD1445,DDP,USD,ILS
20009044_U,Israel,FGCD1445,DDP,USD,ILS
20009046_U,Israel,FGCD1445,DDP,USD,ILS
20009077_U,Israel,FGCD1445,DDP,USD,ILS
20009080_U,Israel,FGCD1445,DDP,USD,ILS
20009090_U,Israel,FGCD1445,DDP,EUR,ILS
20009091_U,Israel,FGCD1445,DDP,EUR,ILS
20009100_U,Israel,FGCD1445,DDP,USD,ILS
20009111_U,Israel,FGCD1445,DDP,EUR,ILS
20009111_U,Israel,FGCD1445,DDP,USD,ILS
20009112_U,Israel,FGCD1445,DDP,EUR,ILS
20009112_U,Israel,FGCD1445,DDP,USD,ILS
20009169_U,Israel,FGCD1445,DDP,USD,ILS
20009195_U,Israel,FGCD1445,DDP,USD,ILS
20009208_U,Israel,FGCD1445,DDP,EUR,ILS
20009213_U,Israel,FGCD1445,DDP,USD,ILS
20009228_U,Israel,FGCD1445,DDP,USD,ILS
20009306_U,Israel,FGCD1445,DDP,USD,ILS
20009319_U,Israel,FGCD1445,DDP,EUR,ILS
